timestamp;person position;;;person rotation;;;robot position;;;robot rotation;emotions
;x;y;z;x;y;z;x;y;z;x;y;z;Angry;Sad;Happy;Disgust;Surprise;Fear;Neutral
14.01.2020 14:20:38;-3,83;1,75;-27,75;1,44;17,01;-1,334443E-08;8,75;0,4917292;-13,25;0;0,00192118;0;0; 0; 0; 0; 0; 0; 0; 
14.01.2020 14:20:38;-3,83;1,75;-27,75;1,44;19,44;-2,668886E-08;8,75;0,4917292;-13,25;0;0,001977521;0;0; 0; 0; 0; 0; 0; 0; 
14.01.2020 14:20:38;-3,83;1,75;-27,75;1,44;21,6;-2,668886E-08;8,75;0,4917292;-13,25;0;0,002033749;0;0; 0; 0; 0; 0; 0; 0; 
14.01.2020 14:20:38;-3,83;1,75;-27,75;1,44;22,68;0;8,75;0,4917292;-13,25;0;0,002089865;0;0; 0; 0; 0; 0; 0; 0; 
14.01.2020 14:20:38;-3,83;1,75;-27,75;1,92;23,22;0;8,75;0,4917292;-13,25;0;0,002117881;0;0; 0; 0; 0; 0; 0; 0; 
14.01.2020 14:20:38;-3,83;1,75;-27,75;1,92;24,3;0;8,75;0,4917292;-13,25;0;0,002173829;0;0; 0; 0; 0; 0; 0; 0; 
14.01.2020 14:20:38;-3,83;1,75;-27,75;1,92;25,38;0;8,75;0,4917292;-13,25;1,87603E-15;351,762;2,142321E-09;0; 0; 0; 0; 0; 0; 0; 
14.01.2020 14:20:38;-3,83;1,75;-27,75;1,92;25,92;-2,669541E-08;8,75;0,4917292;-13,25;-5,168401E-15;345,6429;2,935402E-08;0; 0; 0; 0; 0; 0; 0; 
14.01.2020 14:20:38;-3,83;1,75;-27,75;1,92;26,46;-5,339083E-08;8,75;0,4917292;-13,25;-9,541664E-15;338,9359;2,400264E-08;0; 0; 0; 0; 0; 0; 0; 
14.01.2020 14:20:38;-3,83;1,75;-27,75;1,92;26,46;-5,339083E-08;8,75;0,4917292;-13,25;-2,385416E-15;332,951;1,544828E-08;0; 0; 0; 0; 0; 0; 0; 
14.01.2020 14:20:39;-3,83;1,75;-27,75;1,92;26,46;-5,339083E-08;8,75;0,4917292;-13,25;-3,975694E-15;326,1743;2,726192E-08;0; 0; 0; 0; 0; 0; 0; 
14.01.2020 14:20:39;-3,83;1,75;-27,75;1,92;26,46;-5,339083E-08;8,75;0,4917292;-13,25;0;319,5933;1,180462E-08;0; 0; 0; 0; 0; 0; 0; 
