
[08.01.2020 12:12:33][person position/x=-3,83,y=1,75,z=-27,75][person rotation/x=0,y=0,z=0][robot position/x=8,75,y=0,4917292,z=-13,25][robot rotation/x=0,y=0,001530323,z=0][Angry=0, Sad=0, Happy=0, Disgust=0, Surprise=0, Fear=0, Neutral=0]
[08.01.2020 12:12:33][person position/x=-3,83,y=1,75,z=-27,75][person rotation/x=0,y=0,z=0][robot position/x=8,75,y=0,4917292,z=-13,25][robot rotation/x=0,y=0,001562079,z=0][Angry=0, Sad=0, Happy=0, Disgust=0, Surprise=0, Fear=0, Neutral=0]
[08.01.2020 12:12:33][person position/x=-3,83,y=1,75,z=-27,75][person rotation/x=0,y=0,z=0][robot position/x=8,75,y=0,4917292,z=-13,25][robot rotation/x=0,y=0,001577944,z=0][Angry=0, Sad=0, Happy=0, Disgust=0, Surprise=0, Fear=0, Neutral=0]
[08.01.2020 12:12:33][person position/x=-3,83,y=1,75,z=-27,75][person rotation/x=0,y=0,z=0][robot position/x=8,75,y=0,4917292,z=-13,25][robot rotation/x=0,y=0,001609648,z=0][Angry=0, Sad=0, Happy=0, Disgust=0, Surprise=0, Fear=0, Neutral=0]
[08.01.2020 12:12:33][person position/x=-3,83,y=1,75,z=-27,75][person rotation/x=0,y=0,z=0][robot position/x=8,75,y=0,4917292,z=-13,25][robot rotation/x=0,y=0,001625486,z=0][Angry=0, Sad=0, Happy=0, Disgust=0, Surprise=0, Fear=0, Neutral=0]
[08.01.2020 12:12:33][person position/x=-3,83,y=1,75,z=-27,75][person rotation/x=0,y=0,z=0][robot position/x=8,75,y=0,4917292,z=-13,25][robot rotation/x=0,y=0,001657137,z=0][Angry=0, Sad=0, Happy=0, Disgust=0, Surprise=0, Fear=0, Neutral=0]
[08.01.2020 12:12:33][person position/x=-3,83,y=1,75,z=-27,75][person rotation/x=0,y=0,z=0][robot position/x=8,75,y=0,4917292,z=-13,25][robot rotation/x=0,y=0,001672949,z=0][Angry=0, Sad=0, Happy=0, Disgust=0, Surprise=0, Fear=0, Neutral=0]
[08.01.2020 12:12:33][person position/x=-3,83,y=1,75,z=-27,75][person rotation/x=0,y=0,z=0][robot position/x=8,75,y=0,4917292,z=-13,25][robot rotation/x=0,y=0,001704547,z=0][Angry=0, Sad=0, Happy=0, Disgust=0, Surprise=0, Fear=0, Neutral=0]
[08.01.2020 12:12:33][person position/x=-3,83,y=1,75,z=-27,75][person rotation/x=0,y=0,z=0][robot position/x=8,75,y=0,4917292,z=-13,25][robot rotation/x=0,y=0,001720333,z=0][Angry=0, Sad=0, Happy=0, Disgust=0, Surprise=0, Fear=0, Neutral=0]
[08.01.2020 12:12:33][person position/x=-3,83,y=1,75,z=-27,75][person rotation/x=0,y=0,z=0][robot position/x=8,75,y=0,4917292,z=-13,25][robot rotation/x=0,y=0,001751879,z=0][Angry=0, Sad=0, Happy=0, Disgust=0, Surprise=0, Fear=0, Neutral=0]
